DR_NO,Date Rptd,DATE OCC,TIME OCC
200316872.0,09/04/2020 12:00:00 AM,09/03/2020 12:00:00 AM,
200911119.0,06/16/2020 12:00:00 AM,,2300.0
201212066.0,,05/03/2020 12:00:00 AM,1235.0
,,02/01/2020 12:00:00 AM,1.0
200312493.0,06/10/2020 12:00:00 AM,,1500.0
200513373.0,08/25/2020 12:00:00 AM,08/11/2020 12:00:00 AM,246.0
201220752.0,09/16/2020 12:00:00 AM,09/16/2020 12:00:00 AM,1230.0
,,10/05/2020 12:00:00 AM,
200618244.0,11/20/2020 12:00:00 AM,11/19/2020 12:00:00 AM,
200214497.0,09/01/2020 12:00:00 AM,06/13/2020 12:00:00 AM,
,02/10/2020 12:00:00 AM,01/30/2020 12:00:00 AM,
200616504.0,10/10/2020 12:00:00 AM,10/09/2020 12:00:00 AM,2345.0
,04/15/2020 12:00:00 AM,,1730.0
200717189.0,12/16/2020 12:00:00 AM,12/13/2020 12:00:00 AM,1500.0
200817626.0,12/17/2020 12:00:00 AM,12/16/2020 12:00:00 AM,
201110326.0,06/12/2020 12:00:00 AM,06/11/2020 12:00:00 AM,2000.0
,02/16/2020 12:00:00 AM,02/16/2020 12:00:00 AM,915.0
200106948.0,02/11/2020 12:00:00 AM,,
,02/27/2020 12:00:00 AM,02/20/2020 12:00:00 AM,1200.0
200212443.0,,07/05/2020 12:00:00 AM,900.0
201216960.0,07/21/2020 12:00:00 AM,07/21/2020 12:00:00 AM,
,,08/30/2020 12:00:00 AM,1420.0
201104052.0,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2030.0
201007391.0,03/19/2020 12:00:00 AM,03/18/2020 12:00:00 AM,
200906435.0,02/24/2020 12:00:00 AM,02/23/2020 12:00:00 AM,1800.0
,10/14/2020 12:00:00 AM,10/13/2020 12:00:00 AM,
200414361.0,,,1200.0
200911049.0,06/15/2020 12:00:00 AM,06/09/2020 12:00:00 AM,
200312753.0,,,720.0
,,,2125.0
,12/08/2020 12:00:00 AM,12/07/2020 12:00:00 AM,
,,07/27/2020 12:00:00 AM,700.0
201111473.0,,,1134.0
200310910.0,05/05/2020 12:00:00 AM,,
200609150.0,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1900.0
,09/30/2020 12:00:00 AM,09/30/2020 12:00:00 AM,410.0
201212836.0,05/15/2020 12:00:00 AM,05/15/2020 12:00:00 AM,540.0
200917497.0,11/20/2020 12:00:00 AM,11/20/2020 12:00:00 AM,
201011914.0,,08/02/2020 12:00:00 AM,1005.0
,08/06/2020 12:00:00 AM,,2300.0
200307284.0,,,1200.0
200315866.0,08/16/2020 12:00:00 AM,08/16/2020 12:00:00 AM,1310.0
200516175.0,11/04/2020 12:00:00 AM,11/04/2020 12:00:00 AM,1300.0
,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1650.0
200517231.0,,11/29/2020 12:00:00 AM,
200205286.0,,01/26/2020 12:00:00 AM,2000.0
,,09/05/2020 12:00:00 AM,1800.0
200614026.0,,,40.0
200122014.0,12/06/2020 12:00:00 AM,12/06/2020 12:00:00 AM,1930.0
200320495.0,11/17/2020 12:00:00 AM,11/16/2020 12:00:00 AM,2115.0
200211325.0,,,1830.0
200406978.0,03/16/2020 12:00:00 AM,03/14/2020 12:00:00 AM,
,,07/20/2020 12:00:00 AM,750.0
200607168.0,02/29/2020 12:00:00 AM,,1915.0
200306462.0,02/10/2020 12:00:00 AM,02/08/2020 12:00:00 AM,45.0
201215770.0,07/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,
,04/22/2020 12:00:00 AM,04/07/2020 12:00:00 AM,1420.0
,04/28/2020 12:00:00 AM,04/25/2020 12:00:00 AM,1800.0
200111454.0,,01/30/2020 12:00:00 AM,1800.0
200321686.0,,12/13/2020 12:00:00 AM,2125.0
200308939.0,03/23/2020 12:00:00 AM,,
,03/28/2020 12:00:00 AM,,1645.0
200813946.0,09/10/2020 12:00:00 AM,09/08/2020 12:00:00 AM,1430.0
200516455.0,11/10/2020 12:00:00 AM,11/10/2020 12:00:00 AM,1130.0
200122119.0,12/08/2020 12:00:00 AM,12/08/2020 12:00:00 AM,2007.0
200304583.0,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,705.0
,08/09/2020 12:00:00 AM,08/09/2020 12:00:00 AM,1515.0
201207213.0,,,800.0
,05/17/2020 12:00:00 AM,05/17/2020 12:00:00 AM,
201108104.0,04/07/2020 12:00:00 AM,,1900.0
